Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
-3.3,,83,,10,101.3,,
-4.7,,83,,14,101.22,,
-4.8,,83,,6,101.18,,
-4.6,,81,,0,101.17,,
-4.4,,81,,7,101.13,,
-4.5,,83,,4,101.05,,
-4.5,,81,,6,100.99,,
-4.2,,81,,8,100.96,,
-4.1,,80,,11,100.95,,
-3.1,,74,,15,100.93,,
-2.8,,79,,19,100.91,,
-2.1,,78,,16,100.84,,
-2.1,,79,,15,100.74,,
-1.6,,77,,17,100.66,,
-1.3,,79,,20,100.6,,
-0.9,,79,,21,100.52,,
-1.1,,81,,20,100.53,,
-0.8,,83,,15,100.51,,
-0.7,,88,,18,100.49,,
-0.4,,89,,20,100.5,,
0.1,,84,,21,100.48,,
-0.1,,87,,17,100.47,,
0,,88,,14,100.49,,
-0.2,,79,,25,100.54,,
-1.7,,64,,31,100.62,,
-2.9,,68,,22,100.73,,
-3.6,,71,,19,100.85,,
-4.6,,64,,22,100.95,,
-6.3,,65,,22,101.05,,
-7.5,,70,,21,101.13,,
-8.2,,68,,21,101.22,,
-8.8,,72,,16,101.28,,
-8.7,,69,,16,101.34,,
-8.1,,66,,12,101.46,,
-7.6,,63,,13,101.53,,
-7.2,,59,,12,101.51,,
-6.6,,59,,12,101.48,,
-6.5,,59,,16,101.48,,
-6.1,,61,,14,101.48,,
-5.7,,61,,9,101.56,,
-6.1,,64,,11,101.64,,
-6.7,,67,,6,101.71,,
-7.3,,73,,8,101.74,,
-7.8,,74,,7,101.8,,
-8.4,,77,,9,101.84,,
-9.8,,82,,8,101.89,,
-8.4,,67,,13,101.96,,
-9.3,,67,,13,102.06,,
-9.7,,67,,11,102.04,,
-10.2,,68,,10,102.05,,
-10.7,,69,,12,102.1,,
-11.3,,72,,9,102.18,,
-11.5,,72,,10,102.25,,
-11.6,,72,,9,102.25,,
-11.7,,75,,8,102.23,,
-12.2,,78,,11,102.28,,
-11.7,,75,,12,102.29,,
-11.3,,73,,15,102.31,,
-10.5,,72,,9,102.36,,
-9.9,,70,,12,102.34,,
-8.9,,69,,12,102.27,,
-8.3,,66,,14,102.21,,
-8,,64,,14,102.15,,
-8.2,,64,,15,102.13,,
-8.5,,65,,16,102.15,,
-8.7,,67,,15,102.15,,
-8.6,,70,,15,102.18,,
-8.6,,69,,20,102.14,,
-8.2,,68,,16,102.09,,
-8.2,,69,,17,102.06,,
-8.2,,72,,18,102,,
-8.2,,74,,14,101.95,,
