Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
3.7,,62,,5,101.76,,
1.9,,72,,8,101.88,,
1.4,,69,,3,101.93,,
1.4,,69,,0,101.97,,
-0.8,,77,,4,102.02,,
-1.5,,85,,3,102.05,,
-2.3,,84,,3,102.08,,
-2.3,,87,,9,102.03,,
-2.4,,89,,5,101.93,,
-3.8,,93,,5,101.95,,
-6,,94,,3,102.01,,
-5.5,,96,,0,102.02,,
-2.3,,96,,5,101.99,,
-4,,93,,3,102,,
-1,,87,,6,101.97,,
0,,82,,10,101.9,,
0.9,,78,,8,101.78,,
2.1,,74,,11,101.66,,
1.1,,78,,12,101.52,,
1.2,,77,,15,101.37,,
1.1,,88,,13,101.29,,
0.8,,94,,14,101.12,,
0.9,,94,,14,100.9,,
1,,94,,17,100.76,,
1.3,,94,,12,100.63,,
1.6,,94,,11,100.48,,
2.2,,94,,11,100.26,,
2.4,,95,,12,100.19,,
1.5,,96,,16,100.07,,
0.9,,97,,15,99.96,,
1,,97,,13,99.75,,
0.7,,97,,13,99.66,,
0.7,,97,,4,99.66,,
0.5,,97,,6,99.55,,
2.1,,98,,3,99.61,,
4.9,,81,,28,99.67,,
4.5,,79,,25,99.71,,
4.3,,77,,30,99.75,,
3.9,,82,,35,99.76,,
3.4,,83,,32,99.78,,
3.3,,83,,32,99.84,,
3,,82,,33,99.89,,
2.9,,79,,36,100,,
2.7,,75,,29,100.13,,
2.2,,77,,27,100.31,,
1.9,,73,,22,100.45,,
1.6,,72,,23,100.55,,
1.3,,72,,26,100.67,,
1,,74,,16,100.77,,
0.2,,75,,16,100.79,,
-0.7,,81,,14,100.81,,
-1.5,,82,,11,100.86,,
-2.1,,86,,8,100.9,,
-2.6,,91,,11,100.95,,
-2.8,,89,,12,100.99,,
-3,,86,,19,101.09,,
-3.3,,89,,16,101.21,,
-3.9,,86,,20,101.36,,
-5.1,,71,,18,101.53,,
-6.4,,70,,12,101.69,,
-6.7,,70,,10,101.84,,
-6.8,,62,,10,101.96,,
-5.8,,60,,16,102.09,,
-5.1,,56,,14,102.11,,
-3.9,,59,,15,102.15,,
-3.9,,64,,17,102.08,,
-3.7,,63,,18,102,,
-3.1,,57,,18,101.95,,
-2.5,,53,,22,101.91,,
-1.9,,56,,15,101.79,,
-2.3,,60,,11,101.73,,
-2.9,,69,,17,101.68,,
-2.1,,72,,18,101.58,,
-1.4,,70,,22,101.5,,
-0.6,,71,,21,101.46,,
-1.4,,70,,22,101.45,,
-1.4,,70,,21,101.45,,
-2,,73,,13,101.38,,
-2.2,,74,,8,101.3,,
-1,,68,,13,101.27,,
-0.8,,68,,12,101.25,,
-0.9,,69,,14,101.24,,
-1,,71,,9,101.29,,
-0.3,,70,,14,101.29,,
-0.3,,73,,16,101.35,,
-0.4,,74,,16,101.43,,
-0.1,,74,,14,101.45,,
0.2,,74,,15,101.4,,
0.7,,71,,10,101.37,,
0.8,,68,,11,101.29,,
1.4,,66,,8,101.24,,
1.5,,67,,7,101.16,,
1.4,,68,,7,101.1,,
1.6,,68,,3,101.07,,
1.3,,71,,4,101.09,,
0.8,,74,,4,101.05,,
1,,74,,4,101.02,,
0.7,,76,,6,101.01,,
0.4,,77,,6,100.95,,
0.3,,75,,7,100.88,,
-0.7,,81,,4,100.82,,
-0.9,,81,,5,100.77,,
-4.6,,86,,5,100.72,,
-3.8,,90,,6,100.67,,
-3.3,,90,,10,100.6,,
-2.1,,87,,9,100.53,,
-1.7,,82,,11,100.46,,
-3.1,,86,,11,100.4,,
-3.4,,90,,12,100.34,,
-2,,84,,15,100.29,,
-0.7,,77,,11,100.2,,
2,,64,,11,100.11,,
2.6,,59,,13,100.03,,
3.5,,57,,9,99.9,,
4.2,,54,,9,99.74,,
4.8,,52,,7,99.66,,
4.2,,58,,13,99.56,,
3.7,,60,,12,99.52,,
3.5,,62,,11,99.52,,
3,,63,,12,99.56,,
2.3,,68,,12,99.6,,
1.2,,72,,17,99.64,,
0.5,,76,,14,99.7,,
-0.2,,78,,16,99.75,,
-0.8,,80,,6,99.82,,
-1,,81,,5,99.96,,
-1.9,,82,,3,100.03,,
-0.6,,78,,5,100.15,,
-0.2,,77,,4,100.24,,
0.2,,79,,10,100.32,,
0.9,,81,,8,100.44,,
1.5,,81,,14,100.58,,
1.9,,76,,17,100.74,,
1.3,,74,,24,100.9,,
1,,74,,19,101.01,,
2.1,,67,,17,101.08,,
3,,62,,13,101.13,,
3.7,,58,,13,101.15,,
4.6,,52,,9,101.14,,
4.4,,57,,15,101.22,,
4.9,,51,,17,101.28,,
4,,56,,13,101.32,,
3.8,,55,,9,101.34,,
3.3,,55,,8,101.46,,
2.4,,58,,8,101.51,,
0.8,,67,,10,101.53,,
0.4,,63,,11,101.49,,
-0.1,,65,,11,101.46,,
-1.3,,69,,10,101.46,,
-0.8,,66,,9,101.35,,
-0.8,,68,,10,101.33,,
0.2,,65,,13,101.27,,
0.4,,65,,11,101.24,,
0.4,,67,,12,101.09,,
0.8,,69,,11,101.06,,
1.2,,72,,11,100.95,,
2,,69,,15,100.83,,
3.1,,65,,19,100.75,,
3.7,,64,,11,100.73,,
4.2,,63,,18,100.39,,
4.4,,63,,16,100.28,,
4.8,,63,,14,100.13,,
5.8,,64,,16,99.95,,
5.7,,62,,14,99.92,,
6.2,,62,,13,99.88,,
3.4,,85,,6,99.97,,
3.1,,91,,11,99.96,,
4.7,,91,,17,99.86,,
8.2,,83,,26,99.85,,
8.4,,73,,25,99.84,,
8.4,,74,,18,99.81,,
8,,71,,19,99.83,,
8.3,,69,,28,100.01,,
7.5,,62,,32,100.13,,
6.6,,66,,18,100.25,,
5.8,,69,,23,100.34,,
6.4,,66,,26,100.42,,
6.2,,64,,41,100.49,,
5.2,,70,,27,100.57,,
5,,70,,28,100.7,,
4.3,,71,,20,100.85,,
3.9,,66,,23,101,,
3.6,,65,,20,101.08,,
3.9,,64,,19,101.26,,
3,,71,,22,101.28,,
2.7,,69,,17,101.27,,
2.6,,69,,14,101.21,,
2.9,,66,,10,101.14,,
2.8,,64,,13,101.13,,
2.6,,66,,10,101.19,,
2.4,,67,,7,101.15,,
2.4,,65,,6,101.16,,
1.8,,70,,7,101.11,,
1.5,,73,,0,101.07,,
1.4,,75,,4,100.98,,
1.7,,69,,5,100.85,,
0.6,,65,,18,100.71,,
-0.9,,68,,25,100.63,,
-2.5,,75,,30,100.4,,
-3.5,,84,,29,100.49,,
-4.5,,87,,32,100.29,,
-5.1,,88,,29,100.14,,
-5.4,,87,,23,100.09,,
-5.8,,88,,28,100.06,,
-6.5,,86,,36,100.04,,
-7.3,,84,,35,100.05,,
-7.7,,88,,30,100.07,,
-8.5,,88,,34,100.12,,
-8,,82,,22,100.31,,
-7.1,,73,,28,100.33,,
-7,,66,,22,100.44,,
-7.5,,68,,18,100.58,,
-7.2,,66,,15,100.75,,
-6.9,,67,,13,100.85,,
-6.7,,67,,9,100.95,,
-6.7,,68,,8,101.07,,
-6.6,,67,,10,101.22,,
-7.1,,59,,19,101.25,,
-7.6,,59,,16,101.32,,
-8.6,,61,,20,101.38,,
-9.9,,63,,13,101.47,,
-10.3,,67,,4,101.54,,
-10.2,,67,,7,101.62,,
-11.1,,73,,0,101.69,,
-11.3,,71,,8,101.76,,
-11.7,,71,,10,101.81,,
-12.3,,74,,8,101.85,,
-12.7,,75,,9,101.88,,
-12.3,,73,,14,101.94,,
-12.2,,72,,16,101.96,,
-10.1,,76,,9,101.88,,
-8.1,,66,,17,101.87,,
-6.7,,65,,21,101.8,,
-5,,69,,15,101.72,,
-2.5,,68,,12,101.66,,
-1.7,,70,,20,101.55,,
-1.6,,76,,23,101.52,,
-1.2,,77,,21,101.55,,
-0.7,,80,,21,101.59,,
-0.4,,76,,20,101.69,,
0,,74,,20,101.78,,
0,,75,,17,101.78,,
0.2,,72,,15,101.85,,
-0.1,,71,,14,101.86,,
-0.2,,73,,17,101.91,,
-0.1,,73,,15,101.96,,
-0.1,,74,,11,101.99,,
-0.4,,75,,14,102.04,,
-1.4,,78,,9,102.05,,
-2,,83,,7,102.11,,
-1.8,,85,,11,102.12,,
-3.4,,90,,8,102.05,,
-1.8,,85,,8,102.05,,
-0.6,,80,,12,102.02,,
0.3,,74,,8,101.97,,
1,,68,,16,101.86,,
1.9,,69,,19,101.68,,
2.6,,66,,18,101.5,,
2.6,,67,,27,101.29,,
3.1,,66,,28,101.04,,
3.3,,62,,30,100.84,,
3.6,,61,,22,100.68,,
3.6,,59,,20,100.53,,
3.6,,60,,25,100.44,,
4.1,,54,,26,100.46,,
4.1,,54,,22,100.41,,
4.1,,55,,18,100.4,,
4.3,,55,,17,100.34,,
4.1,,57,,18,100.3,,
3,,65,,11,100.31,,
2.7,,69,,15,100.22,,
3.1,,68,,16,100.12,,
3.8,,63,,17,100.01,,
3.6,,65,,12,99.89,,
3.6,,65,,16,99.83,,
3.3,,67,,15,99.78,,
4.2,,62,,18,99.74,,
4.6,,60,,11,99.77,,
4.3,,72,,11,99.8,,
4.2,,76,,14,99.82,,
4,,78,,14,99.81,,
3.9,,79,,16,99.75,,
4.1,,78,,18,99.72,,
3.8,,76,,19,99.76,,
1.9,,81,,15,99.88,,
2.6,,52,,27,99.97,,
1.4,,51,,25,100.04,,
-0.1,,47,,21,100.16,,
-1.9,,44,,25,100.3,,
-3.5,,44,,21,100.4,,
-4.6,,52,,13,100.47,,
-5.6,,58,,15,100.49,,
-7,,61,,18,100.5,,
-8.2,,57,,20,100.49,,
-9.1,,62,,15,100.53,,
-10,,59,,17,100.5,,
-10.8,,60,,18,100.47,,
-11.6,,63,,20,100.45,,
-12.6,,65,,18,100.48,,
-13.1,,66,,16,100.41,,
-13.8,,66,,20,100.25,,
-13.7,,64,,20,100.24,,
-12.3,,63,,16,100.24,,
-11.3,,62,,16,100.16,,
-10.4,,60,,24,99.92,,
-9.1,,58,,19,99.85,,
-8.6,,59,,17,99.68,,
-7.6,,60,,19,99.57,,
-6.7,,59,,16,99.48,,
-6.3,,62,,18,99.43,,
-7.5,,90,,17,99.57,,
-7.6,,89,,14,99.77,,
-7.9,,86,,7,99.94,,
-6.7,,85,,7,100.05,,
-6.7,,86,,10,100.15,,
-6.1,,85,,9,100.26,,
-5.1,,87,,10,100.42,,
-6,,81,,14,100.55,,
-6.2,,76,,17,100.7,,
-6.8,,71,,21,100.91,,
-7.7,,68,,26,101.06,,
-8.6,,62,,14,101.28,,
-9.3,,62,,14,101.43,,
-10.4,,68,,12,101.53,,
-11.1,,69,,10,101.68,,
-10.9,,65,,10,101.82,,
-10.5,,60,,10,101.85,,
-9.5,,57,,9,101.93,,
-8.4,,52,,8,101.99,,
-8.2,,49,,7,101.93,,
-7.1,,49,,11,102,,
-7,,44,,15,101.98,,
-6.5,,42,,9,101.96,,
-6.3,,44,,7,101.97,,
-6.7,,45,,5,101.95,,
-7,,44,,3,101.97,,
-7.1,,49,,3,101.95,,
-7.1,,51,,5,101.84,,
-6.1,,51,,10,101.88,,
-6.2,,43,,13,101.94,,
-6.8,,42,,17,101.88,,
-8.5,,42,,28,101.82,,
-9.3,,44,,23,101.77,,
-9.9,,48,,22,101.65,,
-10.4,,56,,21,101.63,,
-11.4,,76,,27,101.63,,
-12,,79,,26,101.58,,
-12.1,,79,,24,101.55,,
-12.2,,80,,27,101.6,,
-12,,82,,24,101.58,,
-11.7,,76,,25,101.54,,
-11.9,,77,,27,101.5,,
-11.9,,79,,25,101.5,,
-11.9,,78,,27,101.55,,
-11.6,,79,,27,101.44,,
-11.3,,81,,23,101.43,,
-11.1,,76,,27,101.31,,
-11.1,,74,,23,101.19,,
-11.1,,78,,20,101.08,,
-11,,85,,16,100.97,,
-10.9,,86,,22,100.99,,
-11.1,,83,,25,101.01,,
-11.1,,81,,19,101.01,,
-10.8,,85,,14,100.99,,
-11.2,,85,,13,100.9,,
-11.4,,82,,14,100.99,,
-11.3,,83,,15,101.07,,
-11.3,,82,,19,101.24,,
-11.1,,79,,15,101.34,,
-11,,75,,13,101.45,,
-11.1,,74,,11,101.53,,
-11.5,,71,,14,101.64,,
-11.6,,70,,14,101.81,,
-13.8,,67,,19,102.03,,
-14.2,,62,,13,102.17,,
-13.7,,59,,12,102.29,,
-12.9,,60,,12,102.38,,
-11.8,,63,,12,102.4,,
-11.5,,56,,16,102.44,,
-10.5,,49,,21,102.51,,
-10.5,,46,,23,102.57,,
-10.5,,44,,25,102.64,,
-10.9,,47,,25,102.76,,
-11.5,,45,,19,102.85,,
-12.2,,44,,16,102.98,,
-13.2,,46,,9,103.05,,
-13.8,,54,,9,103.14,,
-15.1,,54,,9,103.15,,
-14.7,,52,,10,103.13,,
-15.7,,55,,14,103.16,,
-16.1,,54,,10,103.22,,
-16.3,,55,,6,103.26,,
-16.6,,59,,7,103.21,,
-18.9,,73,,3,103.15,,
-19.6,,72,,3,103.15,,
-18.7,,68,,3,103.06,,
-18.1,,73,,4,102.96,,
-17.2,,69,,6,102.96,,
-16,,60,,4,102.92,,
-14.6,,55,,4,102.76,,
-14,,54,,10,102.73,,
-13.8,,50,,6,102.61,,
-13.3,,49,,3,102.49,,
-13.7,,68,,4,102.4,,
-13.1,,72,,3,102.27,,
-13.2,,77,,3,102.2,,
-13,,77,,6,102.15,,
-13,,79,,6,102.11,,
-14.3,,84,,0,102.02,,
-14.6,,85,,0,101.92,,
-16,,83,,0,101.86,,
-16,,87,,0,101.81,,
-15.9,,86,,5,101.75,,
-14.6,,86,,7,101.66,,
-13.8,,86,,4,101.56,,
-13.5,,87,,6,101.48,,
-13.2,,87,,9,101.36,,
-13.3,,88,,8,101.2,,
-12.9,,87,,5,101.13,,
-15.3,,85,,14,101.04,,
-14.7,,85,,12,100.93,,
-12.3,,86,,8,100.79,,
-11.6,,84,,10,100.69,,
-9.7,,79,,10,100.53,,
-9.1,,78,,10,100.43,,
-8,,79,,8,100.27,,
-9.5,,82,,13,100.26,,
-9.6,,81,,12,100.22,,
-9.1,,77,,11,100.23,,
-8.6,,72,,8,100.27,,
-8.3,,73,,4,100.29,,
-8.2,,73,,7,100.4,,
-9.1,,74,,6,100.46,,
