Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
-4.3,,82,,15,101.76,,
-4.6,,83,,20,101.75,,
-4.5,,84,,17,101.71,,
-5.2,,86,,21,101.72,,
-5.4,,88,,19,101.66,,
-5.6,,88,,20,101.66,,
-6.1,,88,,20,101.68,,
-6,,88,,19,101.69,,
-6,,88,,20,101.66,,
-5.8,,87,,18,101.66,,
-5.5,,86,,19,101.66,,
-5.2,,87,,18,101.66,,
-4.7,,86,,18,101.63,,
-4.1,,86,,20,101.65,,
-3.3,,85,,16,101.64,,
-2.7,,84,,17,101.56,,
-1.8,,85,,19,101.47,,
-1.1,,85,,19,101.4,,
-0.3,,84,,14,101.36,,
0.2,,86,,17,101.32,,
0.6,,86,,15,101.23,,
1.2,,88,,13,101.2,,
0.8,,90,,16,101.2,,
1.6,,90,,10,101.13,,
1,,93,,12,101.16,,
1.9,,91,,12,101.04,,
1.7,,91,,13,100.97,,
1.1,,94,,11,100.91,,
4.6,,88,,6,100.75,,
2.8,,93,,10,100.67,,
4.8,,86,,8,100.57,,
4.5,,93,,16,100.5,,
4.3,,97,,0,100.45,,
2.3,,97,,3,100.38,,
4.2,,94,,12,100.29,,
5,,92,,14,100.24,,
5.5,,89,,21,100.26,,
5.4,,90,,12,100.35,,
4.8,,97,,8,100.42,,
4.5,,99,,3,100.45,,
5.6,,99,,7,100.46,,
4.7,,98,,7,100.44,,
5.3,,95,,12,100.43,,
4.4,,96,,3,100.38,,
4.7,,96,,7,100.43,,
4.7,,97,,9,100.53,,
5,,97,,6,100.53,,
4.7,,96,,8,100.58,,
3.9,,95,,9,100.6,,
3.5,,92,,7,100.57,,
3.3,,93,,3,100.52,,
2.8,,92,,12,100.49,,
2.5,,94,,9,100.38,,
1.9,,97,,10,100.35,,
1.4,,97,,6,100.31,,
1.1,,97,,4,100.25,,
0.9,,97,,4,100.17,,
0.7,,98,,5,100.14,,
0.5,,98,,4,100.07,,
0.7,,98,,6,100.07,,
0.6,,97,,9,100.05,,
0.5,,98,,7,100.05,,
0.6,,98,,7,100.05,,
0.7,,98,,7,100.05,,
1,,97,,6,100.02,,
1.6,,96,,6,100.09,,
1.9,,95,,9,100.15,,
