Temp,Temp Indicateur,Hum. rel (%),Hum. rel. Indicateur,Vit. du vent (km/h),Pression de la station (kPa),Pression de la station Indicateur,Temps
0.5,,54,,10,101.09,,
0.3,,53,,14,101.02,,
0.4,,51,,10,100.91,,
0,,65,,12,100.9,,
-1.2,,93,,16,100.8,,
-1.3,,95,,17,100.69,,
-1.5,,94,,18,100.62,,
-1.2,,93,,6,100.56,,
-0.9,,93,,13,100.48,,
-0.5,,94,,10,100.47,,
-0.5,,95,,10,100.4,,
-0.3,,95,,10,100.43,,
-0.5,,96,,8,100.47,,
-0.5,,97,,8,100.51,,
-0.6,,97,,6,100.57,,
-0.7,,98,,5,100.7,,
-0.4,,99,,4,100.68,,
0.4,,99,,6,100.67,,
0.7,,97,,5,100.65,,
1.7,,97,,6,100.63,,
1.7,,97,,6,100.66,,
3,,96,,11,100.58,,
3.3,,89,,13,100.65,,
3,,89,,10,100.67,,
3.6,,83,,12,100.68,,
4.5,,78,,19,100.67,,
4.1,,80,,18,100.72,,
4.3,,79,,24,100.78,,
4.7,,76,,20,100.81,,
4.9,,75,,19,100.86,,
5.5,,73,,16,100.88,,
5.9,,72,,15,100.87,,
6.2,,69,,17,100.91,,
6.5,,69,,19,100.89,,
6.7,,64,,19,100.86,,
7,,65,,20,100.88,,
6.8,,67,,18,100.92,,
6.6,,68,,12,100.96,,
6.2,,74,,18,101,,
6,,72,,20,101.09,,
5.3,,73,,20,101.17,,
4,,69,,22,101.26,,
3.2,,70,,18,101.37,,
1.8,,65,,20,101.45,,
0.9,,66,,17,101.53,,
1.6,,63,,14,101.62,,
0.7,,58,,22,101.7,,
-0.2,,64,,14,101.81,,
0.2,,63,,13,101.87,,
0.4,,63,,12,101.93,,
0.3,,66,,7,102.03,,
0.4,,65,,10,102.1,,
0.4,,67,,5,102.18,,
0.8,,63,,10,102.29,,
1.1,,64,,10,102.35,,
1.5,,60,,13,102.41,,
1.9,,58,,14,102.44,,
2.2,,56,,12,102.46,,
2.1,,58,,14,102.46,,
2.3,,57,,12,102.48,,
2,,55,,16,102.55,,
1.8,,56,,12,102.6,,
1.6,,56,,9,102.65,,
1.2,,56,,12,102.7,,
1.1,,55,,13,102.75,,
0.9,,57,,8,102.78,,
1.1,,55,,7,102.82,,
1.1,,55,,8,102.83,,
0.8,,60,,10,102.81,,
0.6,,60,,11,102.88,,
0.4,,59,,10,102.93,,
0.2,,61,,9,102.95,,
0.1,,60,,11,102.96,,
-0.1,,60,,10,102.96,,
-0.1,,59,,12,102.98,,
-0.3,,60,,8,103.01,,
-0.2,,61,,9,103.05,,
-0.1,,63,,7,103.1,,
0,,62,,7,103.11,,
-0.2,,64,,12,103.1,,
0.2,,61,,5,103.07,,
0.5,,63,,4,103.03,,
0.5,,59,,3,102.99,,
0.4,,60,,7,102.98,,
0.6,,59,,6,102.95,,
0.4,,59,,5,102.94,,
-0.2,,59,,0,102.89,,
-0.8,,63,,0,102.88,,
-0.5,,62,,4,102.87,,
-1.8,,70,,0,102.82,,
-1.3,,70,,4,102.79,,
-1.3,,71,,8,102.78,,
-3.5,,80,,0,102.77,,
-2.2,,76,,3,102.74,,
-2.9,,80,,0,102.71,,
-2.3,,78,,4,102.67,,
-4.7,,85,,0,102.62,,
-4.7,,89,,3,102.59,,
-4.7,,88,,3,102.54,,
-3.2,,83,,6,102.48,,
-3.5,,81,,8,102.42,,
-1.7,,78,,9,102.4,,
-0.1,,69,,12,102.29,,
0.7,,65,,18,102.18,,
0.3,,64,,13,102.09,,
0.8,,66,,12,102.01,,
0.9,,65,,13,101.88,,
1.2,,69,,13,101.82,,
0.5,,82,,11,101.75,,
0.4,,85,,9,101.7,,
0.4,,87,,6,101.65,,
0.2,,92,,12,101.63,,
0.2,,93,,8,101.63,,
0.4,,93,,9,101.58,,
0.5,,93,,9,101.53,,
0.6,,92,,7,101.49,,
0.7,,91,,9,101.49,,
0.2,,93,,11,101.5,,
